"TIME"	"GEO"	"AGE"	"SEX"	"Value"	"Flag.and.Footnotes"	"scenario"
"107"	2055	"Ireland"	"Total"	"Total"	"5,110,264"	NA	1
"108"	2060	"Ireland"	"Total"	"Total"	"5,239,211"	NA	1
"109"	2065	"Ireland"	"Total"	"Total"	"5,371,504"	NA	1
"110"	2070	"Ireland"	"Total"	"Total"	"5,522,959"	NA	1
"111"	2075	"Ireland"	"Total"	"Total"	"5,698,918"	NA	1
"112"	2080	"Ireland"	"Total"	"Total"	"5,895,992"	NA	1
"113"	2015	"Greece"	"Total"	"Total"	"10,977,945"	NA	1
"114"	2020	"Greece"	"Total"	"Total"	"10,703,417"	NA	1
"115"	2025	"Greece"	"Total"	"Total"	"10,390,233"	NA	1
"116"	2030	"Greece"	"Total"	"Total"	"10,090,040"	NA	1
"117"	2035	"Greece"	"Total"	"Total"	"9,828,015"	NA	1
"118"	2040	"Greece"	"Total"	"Total"	"9,594,043"	NA	1
"119"	2045	"Greece"	"Total"	"Total"	"9,369,754"	NA	1
"120"	2050	"Greece"	"Total"	"Total"	"9,134,040"	NA	1
"121"	2055	"Greece"	"Total"	"Total"	"8,870,993"	NA	1
"122"	2060	"Greece"	"Total"	"Total"	"8,588,747"	NA	1
"123"	2065	"Greece"	"Total"	"Total"	"8,310,982"	NA	1
"124"	2070	"Greece"	"Total"	"Total"	"8,061,924"	NA	1
"125"	2075	"Greece"	"Total"	"Total"	"7,858,111"	NA	1
"126"	2080	"Greece"	"Total"	"Total"	"7,697,872"	NA	1
"127"	2015	"Spain"	"Total"	"Total"	"46,390,269"	NA	1
"128"	2020	"Spain"	"Total"	"Total"	"45,794,180"	NA	1
"129"	2025	"Spain"	"Total"	"Total"	"45,030,505"	NA	1
"130"	2030	"Spain"	"Total"	"Total"	"44,524,313"	NA	1
"131"	2035	"Spain"	"Total"	"Total"	"44,388,056"	NA	1
"132"	2040	"Spain"	"Total"	"Total"	"44,611,491"	NA	1
"133"	2045	"Spain"	"Total"	"Total"	"45,067,118"	NA	1
"134"	2050	"Spain"	"Total"	"Total"	"45,543,565"	NA	1
"135"	2055	"Spain"	"Total"	"Total"	"45,923,249"	NA	1
"136"	2060	"Spain"	"Total"	"Total"	"46,117,126"	NA	1
"137"	2065	"Spain"	"Total"	"Total"	"46,259,476"	NA	1
"138"	2070	"Spain"	"Total"	"Total"	"46,490,103"	NA	1
"139"	2075	"Spain"	"Total"	"Total"	"46,924,400"	NA	1
"140"	2080	"Spain"	"Total"	"Total"	"47,599,370"	NA	1
"141"	2015	"France"	"Total"	"Total"	"66,175,754"	NA	1
"142"	2020	"France"	"Total"	"Total"	"67,658,927"	NA	1
"143"	2025	"France"	"Total"	"Total"	"69,034,738"	NA	1
"144"	2030	"France"	"Total"	"Total"	"70,396,105"	NA	1
"145"	2035	"France"	"Total"	"Total"	"71,680,014"	NA	1
"146"	2040	"France"	"Total"	"Total"	"72,767,166"	NA	1
"147"	2045	"France"	"Total"	"Total"	"73,606,451"	NA	1
"148"	2050	"France"	"Total"	"Total"	"74,297,319"	NA	1
"149"	2055	"France"	"Total"	"Total"	"74,942,449"	NA	1
"150"	2060	"France"	"Total"	"Total"	"75,599,180"	NA	1
"151"	2065	"France"	"Total"	"Total"	"76,312,912"	NA	1
"152"	2070	"France"	"Total"	"Total"	"77,109,937"	NA	1
"153"	2075	"France"	"Total"	"Total"	"77,972,630"	NA	1
"154"	2080	"France"	"Total"	"Total"	"78,842,668"	NA	1
"155"	2015	"Croatia"	"Total"	"Total"	"4,244,995"	NA	1
"156"	2020	"Croatia"	"Total"	"Total"	"4,198,876"	NA	1
"157"	2025	"Croatia"	"Total"	"Total"	"4,145,276"	NA	1
"158"	2030	"Croatia"	"Total"	"Total"	"4,087,043"	NA	1
"159"	2035	"Croatia"	"Total"	"Total"	"4,024,311"	NA	1
"160"	2040	"Croatia"	"Total"	"Total"	"3,957,957"	NA	1
"161"	2045	"Croatia"	"Total"	"Total"	"3,892,008"	NA	1
"162"	2050	"Croatia"	"Total"	"Total"	"3,828,405"	NA	1
"163"	2055	"Croatia"	"Total"	"Total"	"3,766,153"	NA	1
"164"	2060	"Croatia"	"Total"	"Total"	"3,704,650"	NA	1
"165"	2065	"Croatia"	"Total"	"Total"	"3,645,062"	NA	1
"166"	2070	"Croatia"	"Total"	"Total"	"3,583,749"	NA	1
"167"	2075	"Croatia"	"Total"	"Total"	"3,525,401"	NA	1
"168"	2080	"Croatia"	"Total"	"Total"	"3,471,568"	NA	1
"169"	2015	"Italy"	"Total"	"Total"	"60,944,960"	NA	1
"170"	2020	"Italy"	"Total"	"Total"	"61,961,266"	NA	1
"171"	2025	"Italy"	"Total"	"Total"	"63,010,591"	NA	1
"172"	2030	"Italy"	"Total"	"Total"	"64,115,332"	NA	1
"173"	2035	"Italy"	"Total"	"Total"	"65,228,122"	NA	1
"174"	2040	"Italy"	"Total"	"Total"	"66,212,289"	NA	1
"175"	2045	"Italy"	"Total"	"Total"	"66,878,667"	NA	1
"176"	2050	"Italy"	"Total"	"Total"	"67,058,919"	NA	1
"177"	2055	"Italy"	"Total"	"Total"	"66,799,285"	NA	1
"178"	2060	"Italy"	"Total"	"Total"	"66,344,759"	NA	1
"179"	2065	"Italy"	"Total"	"Total"	"65,844,453"	NA	1
"180"	2070	"Italy"	"Total"	"Total"	"65,456,936"	NA	1
"181"	2075	"Italy"	"Total"	"Total"	"65,222,247"	NA	1
"182"	2080	"Italy"	"Total"	"Total"	"65,059,083"	NA	1
"183"	2015	"Cyprus"	"Total"	"Total"	"873,003"	NA	1
"184"	2020	"Cyprus"	"Total"	"Total"	"890,982"	NA	1
"185"	2025	"Cyprus"	"Total"	"Total"	"905,790"	NA	1
"186"	2030	"Cyprus"	"Total"	"Total"	"921,058"	NA	1
"187"	2035	"Cyprus"	"Total"	"Total"	"938,791"	NA	1
"188"	2040	"Cyprus"	"Total"	"Total"	"962,786"	NA	1
"189"	2045	"Cyprus"	"Total"	"Total"	"995,051"	NA	1
"190"	2050	"Cyprus"	"Total"	"Total"	"1,035,392"	NA	1
"191"	2055	"Cyprus"	"Total"	"Total"	"1,078,890"	NA	1
"192"	2060	"Cyprus"	"Total"	"Total"	"1,119,229"	NA	1
"193"	2065	"Cyprus"	"Total"	"Total"	"1,156,266"	NA	1
"194"	2070	"Cyprus"	"Total"	"Total"	"1,190,406"	NA	1
"195"	2075	"Cyprus"	"Total"	"Total"	"1,222,343"	NA	1
"196"	2080	"Cyprus"	"Total"	"Total"	"1,253,155"	NA	1
"197"	2015	"Latvia"	"Total"	"Total"	"1,985,887"	NA	1
"198"	2020	"Latvia"	"Total"	"Total"	"1,880,087"	NA	1
"199"	2025	"Latvia"	"Total"	"Total"	"1,755,404"	NA	1
"200"	2030	"Latvia"	"Total"	"Total"	"1,634,612"	NA	1
"201"	2035	"Latvia"	"Total"	"Total"	"1,551,426"	NA	1
"202"	2040	"Latvia"	"Total"	"Total"	"1,513,038"	NA	1
"203"	2045	"Latvia"	"Total"	"Total"	"1,482,060"	NA	1
"204"	2050	"Latvia"	"Total"	"Total"	"1,453,698"	NA	1
"205"	2055	"Latvia"	"Total"	"Total"	"1,425,864"	NA	1
"206"	2060	"Latvia"	"Total"	"Total"	"1,398,567"	NA	1
"207"	2065	"Latvia"	"Total"	"Total"	"1,376,255"	NA	1
"208"	2070	"Latvia"	"Total"	"Total"	"1,361,216"	NA	1
"209"	2075	"Latvia"	"Total"	"Total"	"1,353,635"	NA	1
"210"	2080	"Latvia"	"Total"	"Total"	"1,351,057"	NA	1
"211"	2015	"Lithuania"	"Total"	"Total"	"2,901,039"	NA	1
"212"	2020	"Lithuania"	"Total"	"Total"	"2,671,108"	NA	1
"213"	2025	"Lithuania"	"Total"	"Total"	"2,425,263"	NA	1
"214"	2030	"Lithuania"	"Total"	"Total"	"2,201,947"	NA	1
"215"	2035	"Lithuania"	"Total"	"Total"	"2,057,227"	NA	1
"216"	2040	"Lithuania"	"Total"	"Total"	"1,997,167"	NA	1
"217"	2045	"Lithuania"	"Total"	"Total"	"1,950,921"	NA	1
"218"	2050	"Lithuania"	"Total"	"Total"	"1,910,327"	NA	1
"219"	2055	"Lithuania"	"Total"	"Total"	"1,870,682"	NA	1
"220"	2060	"Lithuania"	"Total"	"Total"	"1,835,498"	NA	1
"221"	2065	"Lithuania"	"Total"	"Total"	"1,812,183"	NA	1
"222"	2070	"Lithuania"	"Total"	"Total"	"1,806,837"	NA	1
"223"	2075	"Lithuania"	"Total"	"Total"	"1,818,637"	NA	1
"224"	2080	"Lithuania"	"Total"	"Total"	"1,841,709"	NA	1
"225"	2015	"Luxembourg"	"Total"	"Total"	"562,848"	NA	1
"226"	2020	"Luxembourg"	"Total"	"Total"	"632,529"	NA	1
"227"	2025	"Luxembourg"	"Total"	"Total"	"707,777"	NA	1
"228"	2030	"Luxembourg"	"Total"	"Total"	"785,154"	NA	1
"229"	2035	"Luxembourg"	"Total"	"Total"	"861,351"	NA	1
"230"	2040	"Luxembourg"	"Total"	"Total"	"932,937"	NA	1
"231"	2045	"Luxembourg"	"Total"	"Total"	"997,144"	NA	1
"232"	2050	"Luxembourg"	"Total"	"Total"	"1,051,255"	NA	1
"233"	2055	"Luxembourg"	"Total"	"Total"	"1,096,814"	NA	1
"234"	2060	"Luxembourg"	"Total"	"Total"	"1,139,562"	NA	1
"235"	2065	"Luxembourg"	"Total"	"Total"	"1,180,178"	NA	1
"236"	2070	"Luxembourg"	"Total"	"Total"	"1,218,753"	NA	1
"237"	2075	"Luxembourg"	"Total"	"Total"	"1,254,701"	NA	1
"238"	2080	"Luxembourg"	"Total"	"Total"	"1,287,296"	NA	1
"239"	2015	"Hungary"	"Total"	"Total"	"9,863,193"	NA	1
"240"	2020	"Hungary"	"Total"	"Total"	"9,799,790"	NA	1
"241"	2025	"Hungary"	"Total"	"Total"	"9,745,349"	NA	1
"242"	2030	"Hungary"	"Total"	"Total"	"9,679,364"	NA	1
"243"	2035	"Hungary"	"Total"	"Total"	"9,602,186"	NA	1
"244"	2040	"Hungary"	"Total"	"Total"	"9,520,475"	NA	1
"245"	2045	"Hungary"	"Total"	"Total"	"9,441,984"	NA	1
"246"	2050	"Hungary"	"Total"	"Total"	"9,350,126"	NA	1
"247"	2055	"Hungary"	"Total"	"Total"	"9,259,772"	NA	1
"248"	2060	"Hungary"	"Total"	"Total"	"9,165,291"	NA	1
"249"	2065	"Hungary"	"Total"	"Total"	"9,044,051"	NA	1
"250"	2070	"Hungary"	"Total"	"Total"	"8,910,068"	NA	1
"251"	2075	"Hungary"	"Total"	"Total"	"8,788,896"	NA	1
"252"	2080	"Hungary"	"Total"	"Total"	"8,685,213"	NA	1
"253"	2015	"Malta"	"Total"	"Total"	"426,144"	NA	1
"254"	2020	"Malta"	"Total"	"Total"	"438,166"	NA	1
"255"	2025	"Malta"	"Total"	"Total"	"448,723"	NA	1
"256"	2030	"Malta"	"Total"	"Total"	"456,212"	NA	1
"257"	2035	"Malta"	"Total"	"Total"	"460,481"	NA	1
"258"	2040	"Malta"	"Total"	"Total"	"462,760"	NA	1
"259"	2045	"Malta"	"Total"	"Total"	"464,933"	NA	1
"260"	2050	"Malta"	"Total"	"Total"	"468,119"	NA	1
"261"	2055	"Malta"	"Total"	"Total"	"472,081"	NA	1
"262"	2060	"Malta"	"Total"	"Total"	"476,006"	NA	1
"263"	2065	"Malta"	"Total"	"Total"	"478,872"	NA	1
"264"	2070	"Malta"	"Total"	"Total"	"480,482"	NA	1
"265"	2075	"Malta"	"Total"	"Total"	"481,164"	NA	1
"266"	2080	"Malta"	"Total"	"Total"	"481,567"	NA	1
"267"	2015	"Netherlands"	"Total"	"Total"	"16,876,904"	NA	1
"268"	2020	"Netherlands"	"Total"	"Total"	"17,132,291"	NA	1
"269"	2025	"Netherlands"	"Total"	"Total"	"17,370,469"	NA	1
"270"	2030	"Netherlands"	"Total"	"Total"	"17,556,995"	NA	1
"271"	2035	"Netherlands"	"Total"	"Total"	"17,659,813"	NA	1
"272"	2040	"Netherlands"	"Total"	"Total"	"17,653,370"	NA	1
"273"	2045	"Netherlands"	"Total"	"Total"	"17,549,240"	NA	1
"274"	2050	"Netherlands"	"Total"	"Total"	"17,397,786"	NA	1
"275"	2055	"Netherlands"	"Total"	"Total"	"17,234,064"	NA	1
"276"	2060	"Netherlands"	"Total"	"Total"	"17,083,919"	NA	1
"277"	2065	"Netherlands"	"Total"	"Total"	"16,960,602"	NA	1
"278"	2070	"Netherlands"	"Total"	"Total"	"16,875,280"	NA	1
"279"	2075	"Netherlands"	"Total"	"Total"	"16,801,762"	NA	1
"280"	2080	"Netherlands"	"Total"	"Total"	"16,718,275"	NA	1
"281"	2015	"Austria"	"Total"	"Total"	"8,551,081"	NA	1
"282"	2020	"Austria"	"Total"	"Total"	"8,793,916"	NA	1
"283"	2025	"Austria"	"Total"	"Total"	"9,043,395"	NA	1
"284"	2030	"Austria"	"Total"	"Total"	"9,272,212"	NA	1
"285"	2035	"Austria"	"Total"	"Total"	"9,460,962"	NA	1
"286"	2040	"Austria"	"Total"	"Total"	"9,605,887"	NA	1
"287"	2045	"Austria"	"Total"	"Total"	"9,705,799"	NA	1
"288"	2050	"Austria"	"Total"	"Total"	"9,747,249"	NA	1
"289"	2055	"Austria"	"Total"	"Total"	"9,733,169"	NA	1
"290"	2060	"Austria"	"Total"	"Total"	"9,698,711"	NA	1
"291"	2065	"Austria"	"Total"	"Total"	"9,660,036"	NA	1
"292"	2070	"Austria"	"Total"	"Total"	"9,629,453"	NA	1
"293"	2075	"Austria"	"Total"	"Total"	"9,600,897"	NA	1
"294"	2080	"Austria"	"Total"	"Total"	"9,562,386"	NA	1
"295"	2015	"Poland"	"Total"	"Total"	"38,499,953"	NA	1
"296"	2020	"Poland"	"Total"	"Total"	"38,390,693"	NA	1
"297"	2025	"Poland"	"Total"	"Total"	"38,062,232"	NA	1
"298"	2030	"Poland"	"Total"	"Total"	"37,525,745"	NA	1
"299"	2035	"Poland"	"Total"	"Total"	"36,890,265"	NA	1
"300"	2040	"Poland"	"Total"	"Total"	"36,241,010"	NA	1
"301"	2045	"Poland"	"Total"	"Total"	"35,556,692"	NA	1
"302"	2050	"Poland"	"Total"	"Total"	"34,842,067"	NA	1
"303"	2055	"Poland"	"Total"	"Total"	"34,088,197"	NA	1
"304"	2060	"Poland"	"Total"	"Total"	"33,293,791"	NA	1
"305"	2065	"Poland"	"Total"	"Total"	"32,419,992"	NA	1
"306"	2070	"Poland"	"Total"	"Total"	"31,465,728"	NA	1
"307"	2075	"Poland"	"Total"	"Total"	"30,502,686"	NA	1
"308"	2080	"Poland"	"Total"	"Total"	"29,582,117"	NA	1
"309"	2015	"Portugal"	"Total"	"Total"	"10,367,550"	NA	1
"310"	2020	"Portugal"	"Total"	"Total"	"10,139,999"	NA	1
"311"	2025	"Portugal"	"Total"	"Total"	"9,956,053"	NA	1
"312"	2030	"Portugal"	"Total"	"Total"	"9,777,538"	NA	1
"313"	2035	"Portugal"	"Total"	"Total"	"9,591,877"	NA	1
"314"	2040	"Portugal"	"Total"	"Total"	"9,386,339"	NA	1
"315"	2045	"Portugal"	"Total"	"Total"	"9,146,233"	NA	1
"316"	2050	"Portugal"	"Total"	"Total"	"8,862,900"	NA	1
"317"	2055	"Portugal"	"Total"	"Total"	"8,549,217"	NA	1
"318"	2060	"Portugal"	"Total"	"Total"	"8,228,392"	NA	1
"319"	2065	"Portugal"	"Total"	"Total"	"7,914,377"	NA	1
"320"	2070	"Portugal"	"Total"	"Total"	"7,618,571"	NA	1
"321"	2075	"Portugal"	"Total"	"Total"	"7,350,445"	NA	1
"322"	2080	"Portugal"	"Total"	"Total"	"7,113,878"	NA	1
"323"	2015	"Romania"	"Total"	"Total"	"19,909,323"	NA	1
"324"	2020	"Romania"	"Total"	"Total"	"19,686,804"	NA	1
"325"	2025	"Romania"	"Total"	"Total"	"19,390,434"	NA	1
"326"	2030	"Romania"	"Total"	"Total"	"19,003,562"	NA	1
"327"	2035	"Romania"	"Total"	"Total"	"18,691,291"	NA	1
"328"	2040	"Romania"	"Total"	"Total"	"18,458,698"	NA	1
"329"	2045	"Romania"	"Total"	"Total"	"18,222,981"	NA	1
"330"	2050	"Romania"	"Total"	"Total"	"17,973,992"	NA	1
"331"	2055	"Romania"	"Total"	"Total"	"17,730,852"	NA	1
"332"	2060	"Romania"	"Total"	"Total"	"17,440,757"	NA	1
"333"	2065	"Romania"	"Total"	"Total"	"17,121,966"	NA	1
"334"	2070	"Romania"	"Total"	"Total"	"16,812,947"	NA	1
"335"	2075	"Romania"	"Total"	"Total"	"16,552,438"	NA	1
"336"	2080	"Romania"	"Total"	"Total"	"16,338,339"	NA	1
"337"	2015	"Slovenia"	"Total"	"Total"	"2,066,511"	NA	1
"338"	2020	"Slovenia"	"Total"	"Total"	"2,086,779"	NA	1
"339"	2025	"Slovenia"	"Total"	"Total"	"2,091,760"	NA	1
"340"	2030	"Slovenia"	"Total"	"Total"	"2,087,658"	NA	1
"341"	2035	"Slovenia"	"Total"	"Total"	"2,082,073"	NA	1
"342"	2040	"Slovenia"	"Total"	"Total"	"2,078,633"	NA	1
"343"	2045	"Slovenia"	"Total"	"Total"	"2,076,630"	NA	1
"344"	2050	"Slovenia"	"Total"	"Total"	"2,070,382"	NA	1
"345"	2055	"Slovenia"	"Total"	"Total"	"2,057,970"	NA	1
"346"	2060	"Slovenia"	"Total"	"Total"	"2,041,350"	NA	1
"347"	2065	"Slovenia"	"Total"	"Total"	"2,025,667"	NA	1
"348"	2070	"Slovenia"	"Total"	"Total"	"2,013,688"	NA	1
"349"	2075	"Slovenia"	"Total"	"Total"	"2,007,186"	NA	1
"350"	2080	"Slovenia"	"Total"	"Total"	"2,006,508"	NA	1
"351"	2015	"Slovakia"	"Total"	"Total"	"5,416,851"	NA	1
"352"	2020	"Slovakia"	"Total"	"Total"	"5,414,527"	NA	1
"353"	2025	"Slovakia"	"Total"	"Total"	"5,381,871"	NA	1
"354"	2030	"Slovakia"	"Total"	"Total"	"5,314,025"	NA	1
"355"	2035	"Slovakia"	"Total"	"Total"	"5,219,312"	NA	1
"356"	2040	"Slovakia"	"Total"	"Total"	"5,111,991"	NA	1
"357"	2045	"Slovakia"	"Total"	"Total"	"4,997,644"	NA	1
"358"	2050	"Slovakia"	"Total"	"Total"	"4,869,970"	NA	1
"359"	2055	"Slovakia"	"Total"	"Total"	"4,729,402"	NA	1
"360"	2060	"Slovakia"	"Total"	"Total"	"4,574,335"	NA	1
"361"	2065	"Slovakia"	"Total"	"Total"	"4,401,537"	NA	1
"362"	2070	"Slovakia"	"Total"	"Total"	"4,218,590"	NA	1
"363"	2075	"Slovakia"	"Total"	"Total"	"4,038,112"	NA	1
"364"	2080	"Slovakia"	"Total"	"Total"	"3,868,254"	NA	1
"365"	2015	"Finland"	"Total"	"Total"	"5,478,486"	NA	1
"366"	2020	"Finland"	"Total"	"Total"	"5,618,852"	NA	1
"367"	2025	"Finland"	"Total"	"Total"	"5,757,271"	NA	1
"368"	2030	"Finland"	"Total"	"Total"	"5,880,844"	NA	1
"369"	2035	"Finland"	"Total"	"Total"	"5,980,911"	NA	1
